 Title, Isbn, CcbcCollection, Genres, Publisher, Subject, Contributors, ContributorTypes, Contributor Identity
I Love My Body Because,9.78153E+12,Picture Book,Contemporary,Simon & Schuster,"Multicultural General, Physical","Shelly Anand, Erika Medina, Nomi Ellenson","Author, Illustrator","Asian, Female (Shelly Anand), Female, Latinx (Erika Medina), Female, Jewish, White (Nomi Ellenson)"
I Love You Because I Love You,9.78006E+12,Picture Book,Contemporary,HarperCollins / Katherine Tegen Books,Multicultural General,"Muon Thi Van, Jessica Love","Author, Illustrator","Asian, Female (Muon Thi Van), Female, White (Jessica Love)"
"I Miss You, I Hate This",9.78032E+12,Fiction,Contemporary,"Little, Brown / Poppy","Asian, Latinx, LGBTQ Family, Psychiatric",Sara Saedi,Author,"Asian, Female, Middle East (Sara Saedi)"
I Won't Give Up My Rubber Band,9.7818E+12,Picture Book,Contemporary,Chronicle,Asian,"Shinsuke Yoshitake, Shinsuke Yoshitake, Sofiane Kohen","Author, Illustrator, Translator","Asian (Shinsuke Yoshitake), Asian (Shinsuke Yoshitake), Female, Heritage Unknown (Sofiane Kohen)"
I'll Go and Come Back,9.78154E+12,Picture Book,Contemporary,Candlewick,Asian,"Rajani LaRocca, Sara Palacios","Author, Illustrator","Asian, Female (Rajani LaRocca), Female, Latinx (Sara Palacios)"
I'm a Unicorn,9.78154E+12,Picture Book,Animal Fantasy,Candlewick,,"Helen Yoon, Helen Yoon","Author, Illustrator","Asian, Female (Helen Yoon), Asian, Female (Helen Yoon)"
"In Every Generation (Buffy: The Next Generation, #1)",9.78137E+12,Fiction,"Fantasy, Media Tie-in, Series Fiction",Buena Vista / Hyperion,"Black/African, Indigenous",Kendare Blake,Author,"Asian, Female (Kendare Blake)"
In the Beautiful Country,9.78006E+12,Fiction,Historical,HarperCollins / Quill Tree,Asian,Jane Kuo,Author,"Asian, Female (Jane Kuo)"
It's Diwali!,9.78153E+12,Picture Book,Contemporary,Beach Lane / Simon & Schuster,,"Kabir Sehgal, Surishtha Sehgal, Archana Sreenivasan","Author, Illustrator","Asian, Male (Kabir Sehgal), Asian, Female (Surishtha Sehgal), Asian, Female (Archana Sreenivasan)"
Jamie's Class Has Something to Say: A Book About Sharing with Grown-Ups,9.78163E+12,Picture Book,Contemporary,Free Spirit,Multicultural General,"Afsaneh Moradian, Maria Bogade","Author, Illustrator","Asian, Female, Indigenous, Latinx, Middle East, Multiracial (Afsaneh Moradian), Female, White (Maria Bogade)"
Jennifer Chan Is Not Alone,9.78059E+12,Fiction,Contemporary,Random House,"Asian, Black/African, Jewish",Tae Keller,Author,"Asian, Female, Multiracial (Tae Keller)"
"Journey to America: Celebrating Inspiring Immigrants Who Became Brilliant Scientists, Game-Changing Activists & Amazing Entertainers",9.78076E+12,Non-Fiction,Biography/History,becker&mayer! / Quarto,Multicultural General,"Maliha Abidi, Maliha Abidi","Author, Illustrator","Asian, Female, Muslim (Maliha Abidi), Asian, Female, Muslim (Maliha Abidi)"
Juna and Appa,9.78164E+12,Picture Book,Contemporary,Lee & Low,Asian,"Jane Park, Felicia Hoshino","Author, Illustrator","Asian, Female (Jane Park), Asian, Female (Felicia Hoshino)"
Justice Is...: A Guide for Young Truth Seekers,9.78059E+12,Non-Fiction,,Crown / Random House,Multicultural General,"Preet Bharara, Sue Cornelison","Author, Illustrator","Asian, Male (Preet Bharara), Female, White (Sue Cornelison)"
Kalamata's Kitchen: Taste Buds in Harmony,9.78059E+12,Picture Book,Contemporary,Random House,Asian,"Sarah Thomas, Jo Kosmides Edwards","Author, Illustrator","Asian, Female (Sarah Thomas), Female, White (Jo Kosmides Edwards)"
Karthik Delivers,9.78142E+12,Fiction,Contemporary,Abrams / Amulet,Asian,Sheela Chari,Author,"Asian, Female (Sheela Chari)"
Kiss & Tell,9.78059E+12,Fiction,Contemporary,Dial / Penguin Random House,"Asian, LGBTQ Character/Topic, Middle East",Adib Khorram,Author,"Asian, Male, Middle East (Adib Khorram)"
K-Pop Revolution,9.78134E+12,Fiction,"Contemporary, Series Fiction",Point / Scholastic,"Asian, Black/African",Stephan Lee,Author,"Asian, LGBTQ, Male (Stephan Lee)"
Kumo the Bashful Cloud,9.78074E+12,Picture Book,Fantasy,Tundra,Asian,"Kyo Maclear, Nathalie Dion","Author, Illustrator","Asian, Female, Multiracial (Kyo Maclear), Female, White (Nathalie Dion)"
Lark Has the Shivers,9.78146E+12,Fiction,Contemporary,Orca,"Asian, Black/African, Cognitive/Neurological","Natasha Deen, Marcus Cutler","Author, Illustrator","Asian, Black/African, Female, Latinx, Multiracial (Natasha Deen), Male, White (Marcus Cutler)"
Lark Steals the Show,9.78146E+12,Fiction,"Contemporary, Series Fiction",Orca Echoes,"Asian, Black/African",Natasha Deen,Author,"Asian, Black/African, Female, Latinx, Multiracial (Natasha Deen)"
Leilong's Too Long!,9.78178E+12,Picture Book,Animal Fantasy,Gecko,,"Julia Liu, Bei Lynn, Helen Wang","Author, Illustrator, Translator","Asian, Female (Julia Liu), Asian, Female (Bei Lynn), Asian, Female (Helen Wang)"
Let's Do Everything and Nothing,9.78125E+12,Picture Book,Contemporary,Roaring Brook,Asian,"Julia Kuo, Julia Kuo","Author, Illustrator","Asian, Female (Julia Kuo), Asian, Female (Julia Kuo)"
Letters to Ammi,9.78819E+12,Picture Book,Contemporary,Karadi Tales,Asian,"Aftab Yusuf Shaikh, Adrija Ghosh, Soumitra Ranade, Aparna Trikkur","Author, Illustrator","Asian, Male (Aftab Yusuf Shaikh), Asian, Female (Adrija Ghosh), Asian, Male (Soumitra Ranade), Asian, Female (Aparna Trikkur)"
"Leviathan (Adventuregame Comics, #1)",9.78142E+12,Non-Fiction,"Graphic Novel, Series Fiction",Abrams / Amulet,,"Jason Shiga, Jason Shiga","Author, Illustrator","Asian, Male (Jason Shiga), Asian, Male (Jason Shiga)"
"Lia Park and the Missing Jewel (Lia Park, #1)",9.78153E+12,Fiction,"Fantasy, Series Fiction",Aladdin / Simon & Schuster,Asian,Jenna Yoon,Author,"Asian, Female (Jenna Yoon)"
Light a Candle: A Story of Chinese American Pioneers on Gold Mountain (I Am America),9.78163E+12,Fiction,"Historical, Series Fiction",Jolly Fish / North Star Editions,Asian,"Jean Kuo Lee, Eric Freeberg","Author, Illustrator","Asian, Female (Jean Kuo Lee), Male, White (Eric Freeberg)"
"Like Mother, Like Daughter",9.78137E+12,Picture Book,"Fantasy, Media Tie-in",Disney,Asian,"Natasha Yim, Steph Lew","Author, Illustrator","Asian, Female (Natasha Yim), Asian, Female (Steph Lew)"
Lion Needs a Shot,9.78142E+12,Picture Book,Animal Fantasy,Abrams,,"Hyewon Yum, Hyewon Yum","Author, Illustrator","Asian, Female (Hyewon Yum), Asian, Female (Hyewon Yum)"
Little Red Riding Hood and the Dragon,9.78142E+12,Picture Book,Fantasy,Abrams,Asian,"Ying Chang Compestine, Joy Ang","Author, Illustrator","Asian, Female (Ying Chang Compestine), Asian, Female (Joy Ang)"
Little Seed,9.78167E+12,Picture Book,"Board Book, Fantasy",Little Simon / Simon & Schuster,,"Benson Shum, Benson Shum","Author, Illustrator","Asian, Male (Benson Shum), Asian, Male (Benson Shum)"
Lizzy and the Cloud,9.78153E+12,Picture Book,Fantasy,Simon & Schuster,,"Terry Fan, Eric Fan, Terry Fan, Eric Fan","Author, Illustrator","Asian, Male (Terry Fan), Asian, Male (Eric Fan), Asian, Male (Terry Fan), Asian, Male (Eric Fan)"
Loujain Dreams of Sunflowers,9.78166E+12,Picture Book,Contemporary,Astra / Minedition,"Arab, Asian, Middle East","Lina Alhathloul, Uma Mishra-Newbery, Rebecca Green","Author, Illustrator","Arab, Asian, Female, Middle East (Lina Alhathloul), Asian, Female, Other Religion (Uma Mishra-Newbery), Female, White (Rebecca Green)"
Love from Mecca to Medina,9.78167E+12,Fiction,Contemporary,Salaam Reads / Simon & Schuster Libros Para Ninos,"Asian, Cognitive/Neurological, Latinx, Middle East, Muslim",S. K. Ali,Author,"Asian, Female, Muslim (S. K. Ali)"
Love in the Library,9.78154E+12,Picture Book,Historical,Candlewick,Asian,"Maggie Tokuda-Hall, Yas Imamura","Author, Illustrator","Asian, Female, Jewish, Multiracial (Maggie Tokuda-Hall), Asian, Female (Yas Imamura)"
"Love, Decoded",9.78059E+12,Fiction,Contemporary,Penguin Random House / Razorbill,Asian,Jennifer Yen,Author,"Asian, Female (Jennifer Yen)"
Loveboat Reunion,9.78006E+12,Fiction,Contemporary,HarperCollins / HarperTeen,"Asian, Cognitive/Neurological",Abigail Hing Wen,Author,"Asian, Female (Abigail Hing Wen)"
Lucas's Tricky Day: Looking on the Bright Side,9.78162E+12,Picture Book,Contemporary,Charlesbridge,,"Rajani LaRocca, India Valle","Author, Illustrator","Asian, Female (Rajani LaRocca), Black/African, LGBTQ, Other Gender, Transgender (India Valle)"
Lucky Cat,9.78071E+12,Picture Book,Fantasy,Frances Lincoln Children's Books / Quarto,Asian,"AsianBossGirl, Eunice Chen","Author, Illustrator","Asian, Female ( AsianBossGirl), Asian, Female (Eunice Chen)"
Luli and the Language of Tea,9.78082E+12,Picture Book,Contemporary,Holiday House / Neal Porter Books,"Asian, Multicultural General","Andrea Wang, Hyewon Yum","Author, Illustrator","Asian, Female (Andrea Wang), Asian, Female (Hyewon Yum)"
"Luma and the Hiccuping Dragon (Luma and the Peg Dragon, #2)",9.7818E+12,Fiction,"Fantasy, Series Fiction",Welbeck,Asian,"Leah Mohammed, Loretta Schauer","Author, Illustrator","Asian, Female, Multiracial (Leah Mohammed), Female, White (Loretta Schauer)"
Luminous: Living Things that Light Up the Night,9.78177E+12,Non-Fiction,Natural World,Greystone,,"Julia Kuo, Julia Kuo","Author, Illustrator","Asian, Female (Julia Kuo), Asian, Female (Julia Kuo)"
M is for Monster,9.78142E+12,Non-Fiction,"Graphic Novel, Science Fiction",Abrams / Abrams ComicArts,"Asian, LGBTQ Character/Topic","Talia Dutton, Talia Dutton","Author, Illustrator","Asian, Female, LGBTQ, Multiracial (Talia Dutton), Asian, Female, LGBTQ, Multiracial (Talia Dutton)"
Magical Boy: Volume 2,9.78134E+12,Non-Fiction,"Fantasy, Graphic Novel, Series Fiction",Graphix,"Asian, LGBTQ Character/Topic","The Kao, The Kao","Author, Illustrator","Asian, LGBTQ, Male (The Kao), Asian, LGBTQ, Male (The Kao)"
Maizy Chen's Last Chance,9.78198E+12,Fiction,Contemporary,Random House,Asian,Lisa Yee,Author,"Asian, Female (Lisa Yee)"
Making Happy,9.78165E+12,Picture Book,Contemporary,Barefoot,Brown Skin Unspecified,"Sheetal Sheth, Khoa Le","Author, Illustrator","Asian, Female (Sheetal Sheth), Asian, Female (Khoa Le)"
Malala Yousafzai (She Persisted),9.78059E+12,Non-Fiction,"Biography/History, Series Non-fiction",Penguin Random House / Philomel,"Asian, Muslim","Aisha Saeed, Gillian Flint","Author, Illustrator","Asian, Female, Muslim (Aisha Saeed), Female, White (Gillian Flint)"
Mama in Congress: Rashida Tlaib's Journey to Washington,9.78036E+12,Non-Fiction,,Clarion / HarperCollins,,"Rashida Tlaib, Adam Tlaib, Miranda Paul, Olivia Aserr","Author, Illustrator","Arab, Asian, Female, Middle East, Muslim (Rashida Tlaib), Arab, Asian, Male, Middle East (Adam Tlaib), Female, White (Miranda Paul), Arab, Black/African, Female, Middle East, Multiracial (Olivia Aserr)"
Man O' War,9.78059E+12,Fiction,Contemporary,Dutton / Penguin Random House,"Arab, Asian, LGBTQ Character/Topic, Middle East",Cory McCarthy,Author,"Arab, Asian, LGBTQ, Male, Middle East, Multiracial, Other Gender, Transgender (Cory McCarthy)"
Marikit and the Ocean of Stars,9.78037E+12,Fiction,Fantasy,Farrar Straus Giroux / Macmillan,Asian,Caris Avendano Cruz,Author,"Asian, Female (Caris Avendano Cruz)"
Marya Khan and the Incredible Henna Party (#1),9.78142E+12,Fiction,"Contemporary, Series Fiction",Abrams / Amulet,"Asian, Muslim","Saadia Faruqi, Ani Bushry","Author, Illustrator","Asian, Female, Muslim (Saadia Faruqi), Asian, Female (Ani Bushry)"
Meet Me in Mumbai,9.78134E+12,Fiction,Contemporary,Push / Scholastic,"Asian, LGBTQ Family",Sabina Khan,Author,"Asian, Female, Muslim (Sabina Khan)"
Messy Roots: A Graphic Memoir of a Wuhanese American,9.78006E+12,Non-Fiction,"Biography/History, Graphic Novel",Balzer + Bray / HarperAlley,"Asian, LGBTQ Character/Topic","Laura Gao, Laura Gao","Author, Illustrator","Asian, LGBTQ, Unknown (Laura Gao), Asian, LGBTQ, Unknown (Laura Gao)"
Mihi Ever After (#1),9.78125E+12,Fiction,"Fantasy, Series Fiction",Henry Holt / Macmillan,"Asian, Black/African","Tae Keller, Geraldine Rodriguez","Author, Illustrator","Asian, Female, Multiracial (Tae Keller), Female, Latinx (Geraldine Rodriguez)"
Mommy's Hometown,9.78154E+12,Picture Book,Contemporary,Candlewick,Asian,"Hope Lim, Jaime Kim","Author, Illustrator","Asian, Female (Hope Lim), Asian, Female (Jaime Kim)"
Monsters in the Fog,9.78142E+12,Picture Book,Animal Fantasy,Abrams,,"Ali Bahrampour, Ali Bahrampour","Author, Illustrator","Asian, Male, Middle East (Ali Bahrampour), Asian, Male, Middle East (Ali Bahrampour)"
Morning Sun in Wuhan,9.78036E+12,Fiction,Contemporary,Clarion / HarperCollins,Asian,Ying Chang Compestine,Author,"Asian, Female (Ying Chang Compestine)"
Mother Goose Goes to India,9.78153E+12,Non-Fiction,Folklore,Beach Lane / Simon & Schuster,Asian,"Kabir Sehgal, Surishtha Sehgal, Wazza Pink","Author, Illustrator","Asian, Male (Kabir Sehgal), Asian, Female (Surishtha Sehgal), Asian, Female (Wazza Pink)"
"Mum, Me, and the Mulberry Tree",9.78154E+12,Picture Book,Contemporary,Candlewick,,"Tanya Rosie, Chuck Groenink","Author, Illustrator","Asian, Middle East, Multiracial (Tanya Rosie), Male, White (Chuck Groenink)"
My Bindi,9.78134E+12,Picture Book,Contemporary,Orchard / Scholastic,"Asian, Other Religion","Archana Sreenivasan, Gita Varadarajan","Author, Illustrator","Asian, Female (Archana Sreenivasan), Asian, Female, Other Religion (Gita Varadarajan)"
My Dad Is a Grizzly Bear,9.78164E+12,Picture Book,Contemporary,Red Comet Press,Black/African,"Swapna Haddow, Dapo Adeola","Author, Illustrator","Asian, Female (Swapna Haddow), Black/African, Male (Dapo Adeola)"
My Daddy Tells Me...,9.78163E+12,Picture Book,Contemporary,Wise Ink,"Asian, Black/African","Thuba Nguyen, Serena Lombardo","Author, Illustrator","Asian, Black/African, Female, Multiracial (Thuba Nguyen), Female, White (Serena Lombardo)"
My Grandma's Photos,9.78154E+12,Picture Book,Contemporary,Amazon Crossing Kids,"Asian, Cognitive/Neurological, Middle East","Ozge Bahar Sunar, Senta Urgan, Amy Marie Spangler","Author, Illustrator, Translator","Asian, Female, Middle East (Ozge Bahar Sunar), Asian, Female, Middle East (Senta Urgan), Female, White (Amy Marie Spangler)"
My GrandMom,9.78166E+12,Picture Book,Contemporary,Amazon Crossing Kids,Asian,"Gee-eun Lee, Sophie Bowman, Gee-eun Lee","Author, Illustrator, Translator","Asian, Female (Gee-eun Lee), Female, White (Sophie Bowman), Asian, Female (Gee-eun Lee)"
"My Kingdom of Darkness (Pets Rule!, #1)",9.78134E+12,Fiction,"Fantasy, Series Fiction",Scholastic,Asian,"Susan Tan, Wendy Tan Shiau Wei","Author, Illustrator","Asian, Female (Susan Tan), Asian, Female (Wendy Tan Shiau Wei)"
My Mechanical Romance,9.78082E+12,Fiction,Contemporary,Holiday House,"Asian, Jewish, Latinx",Alexene Farol Follmuth,Author,"Asian, Female (Alexene Farol Follmuth)"
My Name Is Saajin Singh,9.78177E+12,Picture Book,Contemporary,Annick,"Asian, Other Religion","Samrath Kaur, Kuljinder Kaur Brar","Author, Illustrator","Asian, LGBTQ, Male (Samrath Kaur), Asian, Female, Other Religion (Kuljinder Kaur Brar)"
My Paati's Saris,9.78059E+12,Picture Book,Contemporary,Kokila / Penguin Random House,"Asian, Gender Nonconformity","Jyoti Rajan Gopal, Art Twink","Author, Illustrator","Asian, Female (Jyoti Rajan Gopal), Asian, Cognitive/Neurological, LGBTQ, Other Gender, Transgender (Art Twink)"
My Sister's Big Fat Indian Wedding,9.78142E+12,Fiction,Contemporary,Abrams / Amulet,"Asian, Other Religion",Sajni Patel,Author,"Asian, Female (Sajni Patel)"
Namaste Is a Greeting,9.78154E+12,Picture Book,Contemporary,Candlewick,"Asian, Other Religion","Suma Subramaniam, Sandhya Prabhat","Author, Illustrator","Asian, Female (Suma Subramaniam), Asian, Female (Sandhya Prabhat)"
"Nana, Nanek, & Nina",9.78059E+12,Picture Book,Contemporary,Dial / Penguin Random House,Asian,"Liza Ferneyhough, Liza Ferneyhough","Author, Illustrator","Asian, Female, Multiracial (Liza Ferneyhough), Asian, Female, Multiracial (Liza Ferneyhough)"
New from Here,9.78153E+12,Fiction,Contemporary,Simon & Schuster,"Asian, Cognitive/Neurological",Kelly Yang,Author,"Asian, Female (Kelly Yang)"
Night Lunch,9.78074E+12,Picture Book,Animal Fantasy,Tundra,,"Eric Fan, Dena Seiferling","Author, Illustrator","Asian, Male (Eric Fan), Female, White (Dena Seiferling)"
Nikhil Out Loud,9.78006E+12,Fiction,Contemporary,Balzer + Bray / HarperCollins,"Asian, LGBTQ Character/Topic",Maulik Pancholy,Author,"Asian, LGBTQ, Male (Maulik Pancholy)"
"Nina Soni, Snow Spy",9.78168E+12,Fiction,,Peachtree,Asian,"Kashmira Sheth, Jenn Kocsmiersky","Author, Illustrator","Asian, Female (Kashmira Sheth), Asian, Female (Jenn Kocsmiersky)"
Nine Color Deer,9.78165E+12,Picture Book,Fantasy,Levine Querido,Asian,"Kailin Duan, Jeremy Tiang, Kailin Duan","Author, Illustrator, Translator","Asian, Female (Kailin Duan), Asian, Male (Jeremy Tiang), Asian, Female (Kailin Duan)"
No Snowball!,9.78134E+12,Picture Book,Animal Fantasy,Orchard / Scholastic,,"Isabella Kung, Isabella Kung","Author, Illustrator","Asian, Female (Isabella Kung), Asian, Female (Isabella Kung)"
Not that Pet!,9.78454E+12,Picture Book,Fantasy,Candlewick,Asian,"Smriti Prasadam-Halls, Rosalind Beardshaw","Author, Illustrator","Asian, Female (Smriti Prasadam-Halls), Female, White (Rosalind Beardshaw)"
Nour's Secret Library,9.78165E+12,Picture Book,Contemporary,Barefoot,"Arab, Asian, Middle East","Vali Mintzi, Wafa' Tarnowska","Author, Illustrator","Female, White (Vali Mintzi), Arab, Asian, Female, Middle East (Wafa' Tarnowska)"
Now! (Barks Dog),9.78162E+12,Picture Book,"Animal Fantasy, Board Book",Charlesbridge,,"Rajani LaRocca, Greg Paprocki","Author, Illustrator","Asian, Female (Rajani LaRocca), Male, White (Greg Paprocki)"
Omar Rising,9.78059E+12,Fiction,Contemporary,Nancy Paulsen Books / Penguin Random House,Asian,Aisha Saeed,Author,"Asian, Female, Muslim (Aisha Saeed)"
Once Upon a Forest,9.78059E+12,Picture Book,Animal Fantasy,Random House / Random House Studio,,"Pam Fong, Pam Fong","Author, Illustrator","Asian, Female (Pam Fong), Asian, Female (Pam Fong)"
Once Upon a K-Prom,9.78137E+12,Fiction,Contemporary,Buena Vista / Hyperion,Asian,Kat Cho,Author,Asian (Kat Cho)
One Sun and Countless Stars: A Muslim Book of Numbers,9.78145E+12,Picture Book,"Concept, Contemporary",Chronicle,"Brown Skin Unspecified, Muslim","Hena Khan, Mehrdokht Amini","Author, Illustrator","Asian, Female, Muslim (Hena Khan), Asian, Female, Middle East (Mehrdokht Amini)"
One White Crane: A Bilingual Counting Book of the Months,9.78125E+12,Picture Book,"Bilingual, Board Book, Concept",Godwin Books / Henry Holt,Asian,"Vickie Lee, Joey Chou","Author, Illustrator","Asian, Female (Vickie Lee), Asian, Male (Joey Chou)"
One Wish: Fatima al-Fihri and the World's Oldest University,9.78006E+12,Non-Fiction,Biography/History,Harper / HarperCollins,"Arab, Black/African, Muslim","M. O. Yuksel, Mariam Quraishi","Author, Illustrator","Asian, Female (M. O. Yuksel), Asian, Female (Mariam Quraishi)"
Only a Monster (#1),9.78006E+12,Fiction,"Fantasy, Series Fiction",HarperCollins / HarperTeen,Asian,Vanessa Len,Author,"Asian, Female, Multiracial (Vanessa Len)"
Owl and Penguin,9.78082E+12,Non-Fiction,"Animal Fantasy, Easy Reader, Graphic Novel",Holiday House,,"Vikram Madan, Vikram Madan","Author, Illustrator","Asian, Male (Vikram Madan), Asian, Male (Vikram Madan)"
Patsy Mink (She Persisted),9.78059E+12,Non-Fiction,"Biography/History, Series Non-fiction",Penguin Random House / Philomel,Asian,"Tae Keller, Gillian Flint","Author, Illustrator","Asian, Female, Multiracial (Tae Keller), Female, White (Gillian Flint)"
Peaceful Warriors,9.78164E+12,Non-Fiction,,Fulton Books,,Mita Pandya-Sandil,Author,"Asian, Female (Mita Pandya-Sandil)"
Peanut Gets Fed Up,9.78006E+12,Picture Book,Fantasy,Greenwillow / HarperCollins,Asian,"Dana Wulfekotte, Dana Wulfekotte","Author, Illustrator","Asian, Female, Jewish (Dana Wulfekotte), Asian, Female, Jewish (Dana Wulfekotte)"
Penguin and Penelope,9.78168E+12,Picture Book,Animal Fantasy,Bloomsbury,,"Salina Yoon, Salina Yoon","Author, Illustrator","Asian, Female (Salina Yoon), Asian, Female (Salina Yoon)"
Pina,9.78088E+12,Picture Book,Animal Fantasy,Tilbury House,Psychiatric,"Elif Yemenici, Elif Yemenici, Sydney Wade","Author, Illustrator, Translator","Asian, Female, Middle East (Elif Yemenici), Asian, Female, Middle East (Elif Yemenici), Female, White (Sydney Wade)"
Pineapple Princess,9.78125E+12,Picture Book,Contemporary,Roaring Brook,,"Sabina Hahn, Sabina Hahn","Author, Illustrator","Asian, Female (Sabina Hahn), Asian, Female (Sabina Hahn)"
Pippin Paints a Portrait,9.7818E+12,Picture Book,Animal Fantasy,Cicada,,"Charlotte Mei, Charlotte Mei","Author, Illustrator","Asian, Female (Charlotte Mei), Asian, Female (Charlotte Mei)"
Pixels of You,9.78142E+12,Non-Fiction,"Graphic Novel, Science Fiction",Abrams / Amulet,"Asian, LGBTQ Character/Topic","Ananth Hirsh, J.R. Doyle, Yuko Ota","Author, Illustrator","Asian, Male (Ananth Hirsh), Asian, LGBTQ, Multiracial, Other Gender, Transgender (J.R. Doyle), Asian, Female (Yuko Ota)"
Pizza My Heart (A Norma and Belly Book),9.78059E+12,Non-Fiction,"Animal Fantasy, Graphic Novel, Series Fiction",Random House / RH Graphic,,"Mika Song, Mika Song","Author, Illustrator","Asian, Female (Mika Song), Asian, Female (Mika Song)"
Pops,9.78178E+12,Picture Book,"Board Book, Contemporary",Gecko,Brown Skin Unspecified,"Gavin Bishop, Gavin Bishop","Author, Illustrator","Asian, Indigenous, Male, Multiracial (Gavin Bishop), Asian, Indigenous, Male, Multiracial (Gavin Bishop)"
Private Label,9.78006E+12,Fiction,Contemporary,HarperCollins / Katherine Tegen Books,Asian,Kelly Yang,Author,"Asian, Female (Kelly Yang)"
Rainbow Hands,9.78191E+12,Picture Book,Contemporary,Lantana,"Asian, Gender Nonconformity","Mamta Nainy, Jo Loring-Fisher","Author, Illustrator","Asian, Female (Mamta Nainy), Female, White (Jo Loring-Fisher)"
Rainbow the Koala (Surviving the Wild),9.78125E+12,Non-Fiction,"Animal Fantasy, Graphic Novel",Henry Holt / Macmillan,,"Remy Lai, Remy Lai","Author, Illustrator","Asian, Female (Remy Lai), Asian, Female (Remy Lai)"
Ravenous Things,9.78137E+12,Fiction,Fantasy,Buena Vista / Disney-Hyperion,"Asian, Black/African","Derrick Chow, Derrick Chow","Author, Illustrator","Asian, LGBTQ, Male (Derrick Chow), Asian, LGBTQ, Male (Derrick Chow)"
"Realm of the Blue Mist (The Rema Chronicles, #1)",9.78134E+12,Non-Fiction,"Fantasy, Graphic Novel, Series Fiction",Graphix,Asian,"Amy Kim Kibuishi, Amy Kim Kibuishi","Author, Illustrator","Asian, Female (Amy Kim Kibuishi), Asian, Female (Amy Kim Kibuishi)"
Recycle and Play: Awesome DIY Zero-Waste Projects to Make for Kids,9.78076E+12,Non-Fiction,,Quarry / Quarto,,Agnes Hsu,Author,"Asian, Female (Agnes Hsu)"
Remixed: A Blended Family,9.78125E+12,Picture Book,Fantasy,Henry Holt / Macmillan,,"Arree Chung, Arree Chung","Author, Illustrator","Asian, Male (Arree Chung), Asian, Male (Arree Chung)"
Rethink the Internet: How to Make the Digital World a Lot Less Sucky,9.78059E+12,Non-Fiction,,Penguin Random House / Philomel,Asian,Trisha Prabhu,Author,"Asian, Female (Trisha Prabhu)"
Rise of the School for Good and Evil (School for Good and Evil),9.78006E+12,Fiction,"Fantasy, Series Fiction",Harper / HarperCollins,,Soman Chainani,Author,"Asian, Male (Soman Chainani)"
Road of the Lost,9.78153E+12,Fiction,Fantasy,Margaret K. McElderry Books / Simon & Schuster,,Nafiza Azad,Author,"Asian, Female, Muslim, Pacific Islander (Nafiza Azad)"
Room for More,9.78177E+12,Picture Book,Animal Fantasy,Pajama Press,,"Michelle Kadarusman, Maggie Zeng","Author, Illustrator","Asian, Female, Physical (Michelle Kadarusman), Asian, Female (Maggie Zeng)"
Rosa's Song,9.78059E+12,Picture Book,Contemporary,Random House / Random House Studio,Asian,"Helena Ku Rhee, Pascal Campion","Author, Illustrator","Asian, Female (Helena Ku Rhee), Male, White (Pascal Campion)"
Say Hello?,9.78192E+12,Picture Book,Animal Fantasy,Berbay,,"Sung Mi Kim, Clare Richards, Sung Mi Kim","Author, Illustrator, Translator","Asian, Female (Sung Mi Kim), Cognitive/Neurological, Female, White (Clare Richards), Asian, Female (Sung Mi Kim)"
Scales (Touch and Feel),9.78146E+12,Picture Book,Board Book,Happy Yak,,"Surya Sajnani, Surya Sajnani","Author, Illustrator","Asian, Female (Surya Sajnani), Asian, Female (Surya Sajnani)"
School Is Wherever I Am,9.78125E+12,Picture Book,Contemporary,Macmillan / Roaring Brook,Brown Skin Unspecified,"Ellie Peterson, Ellie Peterson","Author, Illustrator","Asian, Female, Multiracial (Ellie Peterson), Asian, Female, Multiracial (Ellie Peterson)"
Seed,9.78154E+12,Picture Book,Board Book,Candlewick / Templar,,"Maggie Li, Maggie Li","Author, Illustrator","Asian, Female (Maggie Li), Asian, Female (Maggie Li)"
Serendipity: Ten Romantic Tropes Transformed,9.78125E+12,Fiction,"Anthology, Contemporary",Feiwel and Friends / Macmillan,"LGBTQ Character/Topic, Multicultural General","Marissa Meyer, Elise Bryant, Elizabeth Eulberg, Leah Johnson, Anna-Marie McLemore, Sandhya Menon, Marissa Meyer, Julie Murphy, Caleb Roehrig, Sarah Winifred Searle, Abigail Hing Wen","Author, Compiler","Female, White (Marissa Meyer), Black/African, Female (Elise Bryant), Female, White (Elizabeth Eulberg), Black/African, Female, LGBTQ (Leah Johnson), Cognitive/Neurological, Latinx, LGBTQ, Other Gender, Transgender (Anna-Marie McLemore), Asian, Female (Sandhya Menon), Female, White (Marissa Meyer), Female, LGBTQ, White (Julie Murphy), LGBTQ, Male, White (Caleb Roehrig), Female, White (Sarah Winifred Searle), Asian, Female (Abigail Hing Wen)"
Severn Speaks Out,9.78177E+12,Non-Fiction,,Groundwood,Asian,"Severn Cullis-Suzuki, Ana Suarez, Susan Ouriou, Alex Nogues Otero","Author, Illustrator, Translator","Asian, Female (Severn Cullis-Suzuki), Female, White (Ana Suarez), Female, White (Susan Ouriou), Male, White (Alex Nogues Otero)"
"Shapes, Lines, and Light: My Grandfather's American Journey",9.78132E+12,Non-Fiction,Biography/History,Norton,Asian,"Katie Yamasaki, Katie Yamasaki","Author, Illustrator","Asian, Female, Multiracial (Katie Yamasaki), Asian, Female, Multiracial (Katie Yamasaki)"
